text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon,word
lxwrN,"Masekhet: 5330001, Page: 04, Side: c, Line: 54, Word: 9",P01C,p03,,,,לחורן,P01C | preposition proclitic,9
kd,"Masekhet: 5330001, Page: 04, Side: c, Line: 54, Word: 10",c,,,,,כד,conjunction,10
hwyyN,"Masekhet: 5330001, Page: 04, Side: c, Line: 54, Word: 11",verb G,,,,,הויין,verb peal,11
tpylwy,"Masekhet: 5330001, Page: 04, Side: c, Line: 54, Word: 12",noun pl. emphatic,,,,,תפילוי,noun pl. emphatic,12
({y}lwy,"Masekhet: 5330001, Page: 04, Side: c, Line: 54, Word: 13",p02C,,,,,עלוי,p02C,13
hwh,"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 0",verb G,,,,,הוה,verb peal,0
q)yM,"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 1",verb G,,,,,קאים,verb peal,1
bwN,"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 2",p02C,,,,,בון,p02C,2
mtnyt),"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 3",noun sg. emphatic,,,,,מתניתא,noun sg. emphatic,3
plyg),"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 4",verb G,,,,,פליגא,verb peal,4
(l,"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 5",p01C,,,,,על,p01C,5
)b),"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 6",PN Personal name,,,,,אבא,proper name Personal name,6
br,"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 7",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,7
yrmyh,"Masekhet: 5330001, Page: 04, Side: c, Line: 55, Word: 8",PN Personal name,,,,,ירמיה,proper name Personal name,8
"""k)N","Masekhet: 5330001, Page: 04, Side: c, Line: 56, Word: 0",No data,,,,,כאן,No data,0
k$)ynw,"Masekhet: 5330001, Page: 04, Side: c, Line: 56, Word: 1",No data,,,,,כשאינו,No data,1
"ykwl""","Masekhet: 5330001, Page: 04, Side: c, Line: 56, Word: 2",No data,,,,,יכול,No data,2
"""llwb$N""","Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 0",No data,,,,,ללובשן,No data,0
dlkN,"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 1",c,,,,,דלכן,conjunction,1
mcwh,"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 2",N,,,,,מצוה,noun,2
l),"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 3",a01C,,,,,לא,a01C,3
(byd,"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 4",verb G,,,,,עביד,verb peal,4
bwN,"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 5",p02C,,,,,בון,p02C,5
lmh,"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 6",c,,,,,למה,conjunction,6
hw),"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 7",P01C,,,,,הוא,P01C,7
mbzy,"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 8",verb D,,,,,מבזי,verb pael,8
lwN,"Masekhet: 5330001, Page: 04, Side: c, Line: 57, Word: 9",p02,,,,,לון,preposition with pronominal suffix,9
dlkN,"Masekhet: 5330001, Page: 04, Side: c, Line: 60, Word: 0",c,,,,,דלכן,conjunction,0
mcwh,"Masekhet: 5330001, Page: 04, Side: c, Line: 60, Word: 1",N,,,,,מצוה,noun,1
l),"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 0",a01C,,,,,לא,a01C,0
(byd,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 1",verb G,,,,,עביד,verb peal,1
bwN,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 2",p02C,,,,,בון,p02C,2
lmh,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 3",c,,,,,למה,conjunction,3
hw),"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 4",P01C,,,,,הוא,P01C,4
mbzy,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 5",verb D,,,,,מבזי,verb pael,5
^lwN^,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 6",p02,,,,,לון,preposition with pronominal suffix,6
myy$),"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 7",PN Personal name,,,,,מיישא,proper name Personal name,7
br bryh,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 8",noun sg. emphatic,,,,,בר בריה,noun sg. emphatic,8
dr',"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 9",p,N,,,,דר',preposition | noun,9
yhw$(,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 10",PN Personal name,,,,,יהושע,proper name Personal name,10
"""bN""","Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 11",No data,,,,,בן,No data,11
lwy,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 12",PN Personal name,,,,,לוי,proper name Personal name,12
)m',"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 13",verb G,,,,,אמ',verb peal,13
m)N,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 14",P02C,,,,,מאן,P02C,14
d(bd,"Masekhet: 5330001, Page: 04, Side: c, Line: 61, Word: 15",verb G,c,,,,דעבד,verb peal | conjunction,15
Tb)wt,"Masekhet: 5330001, Page: 04, Side: c, Line: 62, Word: 0",a01C,,,,,טבאות,a01C,0
tmN,"Masekhet: 5330001, Page: 04, Side: c, Line: 63, Word: 0",X,,,,,תמן,X,0
)mryN,"Masekhet: 5330001, Page: 04, Side: c, Line: 63, Word: 1",verb G,,,,,אמרין,verb peal,1
dlm),"Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 0",noun sg. abs. or construct,,,,,דלמא,noun sg. abs. or construct,0
r',"Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 1",N,,,,,ר',noun,1
xyy),"Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 2",PN Personal name,,,,,חייא,proper name Personal name,2
rwb),"Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 3",A02,,,,,רובא,adjective singular determined,3
wr',"Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 4",N,c,,,,ור',noun | conjunction,4
ywxnN,"Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 5",PN Personal name,,,,,יוחנן,proper name Personal name,5
"""hyw""","Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 6",No data,,,,,היו,No data,6
mhlkyN,"Masekhet: 5330001, Page: 04, Side: c, Line: 65, Word: 7",verb D,,,,,מהלכין,verb pael,7
qwmy,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 0",p01C,,,,,קומי,p01C,0
(rsyh,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 1",noun sg. emphatic,,,,,ערסיה,noun sg. emphatic,1
dr',"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 2",p,N,,,,דר',preposition | noun,2
$m(wN,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 3",PN Personal name,,,,,שמעון,proper name Personal name,3
br,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 4",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,4
ywsy,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 5",PN Personal name,,,,,יוסי,proper name Personal name,5
br,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 6",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,6
lqwny),"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 7",PN Personal name,,,,,לקוניא,proper name Personal name,7
whwh,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 8",verb G,c,,,,והוה,verb peal | conjunction,8
r',"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 9",N,,,,,ר',noun,9
ywntN,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 10",PN Personal name,,,,,יונתן,proper name Personal name,10
mps(,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 11",verb D,,,,,מפסע,verb pael,11
(l,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 12",p01C,,,,,על,p01C,12
qybryh,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 13",noun sg. emphatic,,,,,קיבריה,noun sg. emphatic,13
)m',"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 14",verb G,,,,,אמ',verb peal,14
lyh,"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 15",p01,,,,,ליה,preposition independent,15
r',"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 16",N,,,,,ר',noun,16
xyy),"Masekhet: 5330001, Page: 04, Side: c, Line: 66, Word: 17",PN Personal name,,,,,חייא,proper name Personal name,17
rwb),"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 0",A02,,,,,רובא,adjective singular determined,0
kdwN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 1",X,,,,,כדון,X,1
)ynwN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 2",R,,,,,אינון,R,2
mymr,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 3",verb G,,,,,מימר,verb peal,3
lmxr,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 4",p03,a01C,,,,למחר,preposition proclitic | a01C,4
)ynwN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 5",R,,,,,אינון,R,5
gbN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 6",p02C,,,,,גבן,p02C,6
w)ynwN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 7",R,c,,,,ואינון,R | conjunction,7
m(yqyN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 8",verb C,,,,,מעיקין,verb (h)aphel,8
lN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 9",p02,,,,,לן,preposition with pronominal suffix,9
)m',"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 10",verb G,,,,,אמ',verb peal,10
lyh,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 11",p01,,,,,ליה,preposition independent,11
wxkmyN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 12",c,verb G,,,,וחכמין,conjunction | verb peal,12
)ynwN,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 13",R,,,,,אינון,R,13
klwM,"Masekhet: 5330001, Page: 04, Side: d, Line: 01, Word: 14",P01,,,,,כלום,preposition independent,14
)yt,"Masekhet: 5330001, Page: 04, Side: d, Line: 09, Word: 0",verb G,,,,,אית,verb peal,0
tnyy,"Masekhet: 5330001, Page: 04, Side: d, Line: 09, Word: 1",N,,,,,תניי,noun,1
tny,"Masekhet: 5330001, Page: 04, Side: d, Line: 09, Word: 2",verb G,,,,,תני,verb peal,2
w)yt,"Masekhet: 5330001, Page: 04, Side: d, Line: 09, Word: 3",verb G,c,,,,ואית,verb peal | conjunction,3
tnyy,"Masekhet: 5330001, Page: 04, Side: d, Line: 09, Word: 4",N,,,,,תניי,noun,4
tny,"Masekhet: 5330001, Page: 04, Side: d, Line: 09, Word: 5",verb G,,,,,תני,verb peal,5
mN,"Masekhet: 5330001, Page: 04, Side: d, Line: 10, Word: 0",c,,,,,מן,conjunction,0
dmr,"Masekhet: 5330001, Page: 04, Side: d, Line: 10, Word: 1",verb G,c,,,,דמר,verb peal | conjunction,1
""")rcK""","Masekhet: 5330001, Page: 04, Side: d, Line: 11, Word: 0",No data,,,,,ארצך,No data,0
crykh,"Masekhet: 5330001, Page: 04, Side: d, Line: 11, Word: 1",A01,,,,,צריכה,adjective singular absolute or construct,1
"""tp)rtK""","Masekhet: 5330001, Page: 04, Side: d, Line: 11, Word: 2",No data,,,,,תפארתך,No data,2
crykh,"Masekhet: 5330001, Page: 04, Side: d, Line: 11, Word: 3",A01,,,,,צריכה,adjective singular absolute or construct,3
mh,"Masekhet: 5330001, Page: 04, Side: d, Line: 12, Word: 0",P01,,,,,מה,preposition independent,0
T(M,"Masekhet: 5330001, Page: 04, Side: d, Line: 12, Word: 1",verb G,,,,,טעם,verb peal,1
mh,"Masekhet: 5330001, Page: 04, Side: d, Line: 14, Word: 0",P01,,,,,מה,preposition independent,0
T(M,"Masekhet: 5330001, Page: 04, Side: d, Line: 14, Word: 1",verb G,,,,,טעם,verb peal,1
dlkN,"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 0",c,,,,,דלכן,conjunction,0
mh,"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 1",P01,,,,,מה,preposition independent,1
{kN}<nN>,"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 2",P01C,,,,,נן,P01C,2
)mryN,"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 3",verb G,,,,,אמרין,verb peal,3
stmh,"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 4",noun sg. emphatic,,,,,סתמה,noun sg. emphatic,4
wr',"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 5",N,c,,,,ור',noun | conjunction,5
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 6",PN Personal name,,,,,יוסי,proper name Personal name,6
hl',"Masekhet: 5330001, Page: 04, Side: d, Line: 24, Word: 7",noun sg. abs. or construct,,,,,הל',noun sg. abs. or construct,7
kstm),"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 0",noun sg. emphatic,,,,,כסתמא,noun sg. emphatic,0
r',"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 1",N,,,,,ר',noun,1
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 2",PN Personal name,,,,,יוסי,proper name Personal name,2
wr',"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 3",N,c,,,,ור',noun | conjunction,3
ywdh,"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 4",PN Personal name,,,,,יודה,proper name Personal name,4
"""hl'","Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 5",No data,,,,,הל',No data,5
"kr'""","Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 6",No data,,,,,כר',No data,6
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 7",PN Personal name,,,,,יוסי,proper name Personal name,7
wmh,"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 8",P01C,c,,,,ומה,P01C | conjunction,8
crykh,"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 9",A01,,,,,צריכה,adjective singular absolute or construct,9
lmym',"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 10",verb G,p02,,,,למימ',verb peal | preposition with pronominal suffix,10
rb,"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 11",PN Personal name,,,,,רב,proper name Personal name,11
hl',"Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 12",noun sg. abs. or construct,,,,,הל',noun sg. abs. or construct,12
"""kdbry""","Masekhet: 5330001, Page: 04, Side: d, Line: 25, Word: 13",No data,,,,,כדברי,No data,13
"""$nyhN","Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 0",No data,,,,,שניהן,No data,0
"lhql""","Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 1",No data,,,,,להקל,No data,1
)l),"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 2",c,,,,,אלא,conjunction,2
bgyN,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 3",c,,,,,בגין,conjunction,3
<d>$m(#01#,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 4",verb G,c,,,,דשמע,verb peal | conjunction,4
dtny,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 5",c,verb G,,,,דתני,conjunction | verb peal,5
lh,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 6",p01,,,,,לה,preposition independent,6
r',"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 7",N,,,,,ר',noun,7
xyy),"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 8",PN Personal name,,,,,חייא,proper name Personal name,8
b$M,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 9",noun sg. abs. or construct,p02,,,,בשם,noun sg. abs. or construct | preposition with pronominal suffix,9
r',"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 10",N,,,,,ר',noun,10
m)yr,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 11",PN Personal name,,,,,מאיר,proper name Personal name,11
lpwM,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 12",p,,,,,לפום,preposition,12
kN,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 13",a01C,,,,,כן,a01C,13
cryK,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 14",A01,,,,,צריך,adjective singular absolute or construct,14
lmymr{)},"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 15",verb G,p02,,,,למימר,verb peal | preposition with pronominal suffix,15
"""hlkh","Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 16",No data,,,,,הלכה,No data,16
kdbry,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 17",No data,,,,,כדברי,No data,17
$nyhN,"Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 18",No data,,,,,שניהן,No data,18
"lhql""","Masekhet: 5330001, Page: 04, Side: d, Line: 26, Word: 19",No data,,,,,להקל,No data,19
hyydyN,"Masekhet: 5330001, Page: 04, Side: d, Line: 28, Word: 0",P02C,,,,,היידין,P02C,0
r',"Masekhet: 5330001, Page: 04, Side: d, Line: 28, Word: 1",N,,,,,ר',noun,1
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 28, Word: 2",PN Personal name,,,,,יוסי,proper name Personal name,2
hd),"Masekhet: 5330001, Page: 04, Side: d, Line: 28, Word: 3",P01,,,,,הדא,preposition independent,3
dtnynN,"Masekhet: 5330001, Page: 04, Side: d, Line: 28, Word: 4",c,verb G,,,,דתנינן,conjunction | verb peal,4
hwynN,"Masekhet: 5330001, Page: 04, Side: d, Line: 29, Word: 0",verb G,,,,,הוינן,verb peal,0
sbryN,"Masekhet: 5330001, Page: 04, Side: d, Line: 29, Word: 1",verb G,,,,,סברין,verb peal,1
mymr,"Masekhet: 5330001, Page: 04, Side: d, Line: 29, Word: 2",verb G,,,,,מימר,verb peal,2
mh,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 0",P01,,,,,מה,preposition independent,0
plygyN,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 1",verb G,,,,,פליגין,verb peal,1
rbnN,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 2",noun pl. emphatic,,,,,רבנן,noun pl. emphatic,2
wr',"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 3",N,c,,,,ור',noun | conjunction,3
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 4",PN Personal name,,,,,יוסי,proper name Personal name,4
"b""$m(""","Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 5",No data,,,,,בשמע,No data,5
dkt',"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 6",c,verb G,,,,דכת',conjunction | verb peal,6
bh,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 7",p02C,,,,,בה,p02C,7
"""$m(""","Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 8",No data,,,,,שמע,No data,8
h),"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 9",I01C,,,,,הא,I01C,9
"""$)r","Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 10",No data,,,,,שאר,No data,10
kl,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 11",No data,,,,,כל,No data,11
hmcwt,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 12",No data,,,,,המצות,No data,12
"l)""","Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 13",No data,,,,,לא,No data,13
mN,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 14",c,,,,,מן,conjunction,14
dmr,"Masekhet: 5330001, Page: 04, Side: d, Line: 30, Word: 15",verb G,c,,,,דמר,verb peal | conjunction,15
rb,"Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 0",noun sg. abs. or construct,,,,,רב,noun sg. abs. or construct,0
mtnh,"Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 1",PN Personal name,,,,,מתנה,proper name Personal name,1
dr',"Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 2",p,N,,,,דר',preposition | noun,2
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 3",PN Personal name,,,,,יוסי,proper name Personal name,3
hy),"Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 4",P01C,,,,,היא,P01C,4
hwy,"Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 5",verb G,,,,,הוי,verb peal,5
"""$)r","Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 6",No data,,,,,שאר,No data,6
kl,"Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 7",No data,,,,,כל,No data,7
"hmcwt""","Masekhet: 5330001, Page: 04, Side: d, Line: 31, Word: 8",No data,,,,,המצות,No data,8
lyt,"Masekhet: 5330001, Page: 04, Side: d, Line: 32, Word: 0",verb G,,,,,לית,verb peal,0
kN,"Masekhet: 5330001, Page: 04, Side: d, Line: 32, Word: 1",X,,,,,כן,X,1
"""xd$""","Masekhet: 5330001, Page: 04, Side: d, Line: 32, Word: 2",No data,,,,,חדש,No data,2
mstbr),"Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 0",verb Gt,,,,,מסתברא,verb ethpeel,0
dywdy,"Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 1",c,verb C,,,,דיודי,conjunction | verb (h)aphel,1
rb,"Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 2",noun sg. abs. or construct,,,,,רב,noun sg. abs. or construct,2
xsd),"Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 3",PN Personal name,,,,,חסדא,proper name Personal name,3
"""btrwmwt""","Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 4",No data,,,,,בתרומות,No data,4
dhy),"Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 5",c,P01C,,,,דהיא,conjunction | P01C,5
dr',"Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 6",p,N,,,,דר',preposition | noun,6
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 33, Word: 7",PN Personal name,,,,,יוסי,proper name Personal name,7
(l,"Masekhet: 5330001, Page: 04, Side: d, Line: 34, Word: 0",p01C,,,,,על,p01C,0
kwrx{y}K#01#,"Masekhet: 5330001, Page: 04, Side: d, Line: 34, Word: 1",noun sg. emphatic,,,,,כורחך,noun sg. emphatic,1
)ytm',"Masekhet: 5330001, Page: 04, Side: d, Line: 34, Word: 2",verb Gt,,,,,איתמ',verb ethpeel,2
dhy),"Masekhet: 5330001, Page: 04, Side: d, Line: 34, Word: 3",c,P01C,,,,דהיא,conjunction | P01C,3
dr',"Masekhet: 5330001, Page: 04, Side: d, Line: 34, Word: 4",p,N,,,,דר',preposition | noun,4
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 34, Word: 5",PN Personal name,,,,,יוסי,proper name Personal name,5
dtnynN,"Masekhet: 5330001, Page: 04, Side: d, Line: 35, Word: 0",c,verb G,,,,דתנינן,conjunction | verb peal,0
xm$ty,"Masekhet: 5330001, Page: 04, Side: d, Line: 35, Word: 1",n01C,,,,,חמשתי,n01C,1
qdmyyt),"Masekhet: 5330001, Page: 04, Side: d, Line: 35, Word: 2",A02C,,,,,קדמייתא,A02C,2
wl),"Masekhet: 5330001, Page: 04, Side: d, Line: 35, Word: 3",a01C,c,,,,ולא,a01C | conjunction,3
tny<n>th#01#,"Masekhet: 5330001, Page: 04, Side: d, Line: 35, Word: 4",verb G,,,,,תנינתה,verb peal,4
(mhN,"Masekhet: 5330001, Page: 04, Side: d, Line: 35, Word: 5",p02C,,,,,עמהן,p02C,5
wh),"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 0",I01C,c,,,,והא,I01C | conjunction,0
tnynN,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 1",verb G,,,,,תנינן,verb peal,1
xm$ty,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 2",n01C,,,,,חמשתי,n01C,2
)xrnyyt),"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 3",P01C,,,,,אחרנייתא,P01C,3
wl),"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 4",a01C,c,,,,ולא,a01C | conjunction,4
tny<n>th#01#,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 5",verb G,,,,,תנינתה,verb peal,5
(mhN,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 6",p02C,,,,,עמהן,p02C,6
hwy,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 7",verb G,,,,,הוי,verb peal,7
swpK,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 8",noun sg. emphatic,,,,,סופך,noun sg. emphatic,8
mymr,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 9",verb G,,,,,מימר,verb peal,9
dr',"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 10",p,N,,,,דר',preposition | noun,10
ywsy,"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 11",PN Personal name,,,,,יוסי,proper name Personal name,11
hy),"Masekhet: 5330001, Page: 04, Side: d, Line: 36, Word: 12",P01C,,,,,היא,P01C,12
dl),"Masekhet: 5330001, Page: 04, Side: d, Line: 39, Word: 0",c,a01,,,,דלא,conjunction | a01,0
yymr,"Masekhet: 5330001, Page: 04, Side: d, Line: 39, Word: 1",verb G,,,,,יימר,verb peal,1
dl),"Masekhet: 5330001, Page: 04, Side: d, Line: 40, Word: 0",c,a01,,,,דלא,conjunction | a01,0
yymr,"Masekhet: 5330001, Page: 04, Side: d, Line: 40, Word: 1",verb G,,,,,יימר,verb peal,1
tn),"Masekhet: 5330001, Page: 04, Side: d, Line: 45, Word: 0",verb G,,,,,תנא,verb peal,0
nxmN,"Masekhet: 5330001, Page: 04, Side: d, Line: 45, Word: 1",PN Personal name,,,,,נחמן,proper name Personal name,1
sb),"Masekhet: 5330001, Page: 04, Side: d, Line: 45, Word: 2",noun sg. emphatic,,,,,סבא,noun sg. emphatic,2
dkt',"Masekhet: 5330001, Page: 04, Side: d, Line: 46, Word: 0",c,verb G,,,,דכת',conjunction | verb peal,0
bh,"Masekhet: 5330001, Page: 04, Side: d, Line: 46, Word: 1",p02C,,,,,בה,p02C,1
"""kktbM""","Masekhet: 5330001, Page: 04, Side: d, Line: 46, Word: 2",No data,,,,,ככתבם,No data,2
brM,"Masekhet: 5330001, Page: 04, Side: d, Line: 46, Word: 3",c,,,,,ברם,conjunction,3
bhlyl),"Masekhet: 5330001, Page: 04, Side: d, Line: 46, Word: 4",p02,noun sg. emphatic,,,,בהלילא,preposition with pronominal suffix | noun sg. emphatic,4
bgyN,"Masekhet: 5330001, Page: 04, Side: d, Line: 46, Word: 5",c,,,,,בגין,conjunction,5
